yearmonth,region,fueltype,cost
2021년08월,대전,경유,1431.46
2021년09월,대전,경유,1429.52
2021년10월,대전,경유,1515.02
2021년11월,대전,경유,1541.68
2021년12월,대전,경유,1450.35
2022년01월,대전,경유,1447.26
2022년02월,대전,경유,1536.03
2022년03월,대전,경유,1835.39
2022년04월,대전,경유,1898.05
2022년05월,대전,경유,1958.54
2022년06월,대전,경유,2089.86
2022년07월,대전,경유,2075.47
2022년08월,대전,경유,1873.53
2022년09월,대전,경유,1849.73
2022년10월,대전,경유,1830.34
2022년11월,대전,경유,1876.21
2022년12월,대전,경유,1788.4
2023년01월,대전,경유,1681.39
2023년02월,대전,경유,1603.6
2023년03월,대전,경유,1538.07
2023년04월,대전,경유,1541.71
2023년05월,대전,경유,1459.65
2023년06월,대전,경유,1388.27
2023년07월,대전,경유,1396.35
2023년08월,대전,경유,1584.29
2023년09월,대전,경유,1666.05
2023년10월,대전,경유,1680.77
2023년11월,대전,경유,1614.86
2023년12월,대전,경유,1513.91
2024년01월,대전,경유,1472.48
2024년02월,대전,경유,1517.87
2024년03월,대전,경유,1535.61
2024년04월,대전,경유,1560.14
2024년05월,대전,경유,1538.74
2024년06월,대전,경유,1483.56
2024년07월,대전,경유,1557.84
2024년08월,대전,경유,1528.09
2024년09월,대전,경유,1453.31
2024년10월,대전,경유,1420.85
2024년11월,대전,경유,1462.46
2024년12월,대전,경유,1494.41
2025년01월,대전,경유,1564.16
2025년02월,대전,경유,1592.72
2025년03월,대전,경유,1541.39
2025년04월,대전,경유,1497.68
2025년05월,대전,경유,1499.99
2020년01월,울산,경유,1391.32
2020년02월,울산,경유,1365.69
2020년03월,울산,경유,1270.36
2020년04월,울산,경유,1115.09
2020년05월,울산,경유,1044.25
2020년06월,울산,경유,1106.68
2020년07월,울산,경유,1147.08
2020년08월,울산,경유,1150.23
2020년09월,울산,경유,1142.34
2020년10월,울산,경유,1121.22
2020년11월,울산,경유,1103.99
2020년12월,울산,경유,1155.08
2021년01월,울산,경유,1241.71
2021년02월,울산,경유,1258.22
2021년03월,울산,경유,1303.68
2021년04월,울산,경유,1320.22
2021년05월,울산,경유,1324.18
2021년06월,울산,경유,1357.02
2021년07월,울산,경유,1414.73
2021년08월,울산,경유,1429
2021년09월,울산,경유,1421.79
2021년10월,울산,경유,1493.5
2021년11월,울산,경유,1533.41
2021년12월,울산,경유,1447.17
2022년01월,울산,경유,1438.13
2022년02월,울산,경유,1519.1
2022년03월,울산,경유,1832.33
2022년04월,울산,경유,1890.95
2022년05월,울산,경유,1942.64
2022년06월,울산,경유,2073.64
2022년07월,울산,경유,2065.19
2022년08월,울산,경유,1859.82
2022년09월,울산,경유,1813.22
2022년10월,울산,경유,1805.93
2022년11월,울산,경유,1854.11
2022년12월,울산,경유,1757.18
2023년01월,울산,경유,1640.92
2023년02월,울산,경유,1576.79
2023년03월,울산,경유,1512.67
2023년04월,울산,경유,1511.35
2023년05월,울산,경유,1450.06
2023년06월,울산,경유,1367.14
2023년07월,울산,경유,1367.73
2023년08월,울산,경유,1560.65
2023년09월,울산,경유,1649.54
2023년10월,울산,경유,1668.04
2023년11월,울산,경유,1601.89
2023년12월,울산,경유,1490.64
2024년01월,울산,경유,1449.98
2024년02월,울산,경유,1500.28
2024년03월,울산,경유,1522.54
2024년04월,울산,경유,1535.32
2024년05월,울산,경유,1511.88
2024년06월,울산,경유,1464.65
2024년07월,울산,경유,1520.96
2024년08월,울산,경유,1501.27
2024년09월,울산,경유,1433.22
2024년10월,울산,경유,1399.35
2024년11월,울산,경유,1437.38
2024년12월,울산,경유,1476.16
2025년01월,울산,경유,1546.99
2025년02월,울산,경유,1575.9
2025년03월,울산,경유,1528.37
2025년04월,울산,경유,1474.98
2025년05월,울산,경유,1463.44
2020년01월,경기,경유,1402.07
2020년02월,경기,경유,1370.11
2020년03월,경기,경유,1279.23
2020년04월,경기,경유,1130.43
2020년05월,경기,경유,1066.6
2020년06월,경기,경유,1140.09
2020년07월,경기,경유,1172.48
2020년08월,경기,경유,1170.98
2020년09월,경기,경유,1157.79
2020년10월,경기,경유,1137.15
2020년11월,경기,경유,1123.67
2020년12월,경기,경유,1177.28
2021년01월,경기,경유,1251.39
2021년02월,경기,경유,1272.28
2021년03월,경기,경유,1321.31
2021년04월,경기,경유,1337.9
2021년05월,경기,경유,1343.85
2021년06월,경기,경유,1381.53
2021년07월,경기,경유,1432.91
2021년08월,경기,경유,1447.03
2021년09월,경기,경유,1442.02
2021년10월,경기,경유,1516.85
2021년11월,경기,경유,1556.93
2021년12월,경기,경유,1469.46
2022년01월,경기,경유,1455.26
2022년02월,경기,경유,1543.65
2022년03월,경기,경유,1839.14
2022년04월,경기,경유,1911.15
2022년05월,경기,경유,1967.27
2022년06월,경기,경유,2094.09
2022년07월,경기,경유,2084.16
2022년08월,경기,경유,1885.5
2022년09월,경기,경유,1853.23
2022년10월,경기,경유,1839.35
2022년11월,경기,경유,1879.68
2022년12월,경기,경유,1779.87
2023년01월,경기,경유,1671.31
2023년02월,경기,경유,1603.58
2023년03월,경기,경유,1536.31
2023년04월,경기,경유,1540.17
2023년05월,경기,경유,1468.68
2023년06월,경기,경유,1389.69
2023년07월,경기,경유,1399.42
2023년08월,경기,경유,1588.53
2023년09월,경기,경유,1672.49
2023년10월,경기,경유,1692.98
2023년11월,경기,경유,1623.77
2023년12월,경기,경유,1522.62
2024년01월,경기,경유,1480.8
2024년02월,경기,경유,1522.3
2024년03월,경기,경유,1543.12
2024년04월,경기,경유,1559.06
2024년05월,경기,경유,1537.43
2024년06월,경기,경유,1483.08
2024년07월,경기,경유,1548.3
2024년08월,경기,경유,1529.6
2024년09월,경기,경유,1452.72
2024년10월,경기,경유,1418.79
2024년11월,경기,경유,1463.43
2024년12월,경기,경유,1498.25
2025년01월,경기,경유,1566.29
